CourseId,CourseName,GPA,NeuId,Plagiarism,Retake,Term,Year
CS 5001,Intensive Foundations of CS,3.68,000,No,No,FALL,2014
CS 5002,Discrete and Data Structures,3.54,000,No,No,SPRING,2014
CS 5004,Object-Oriented Design,3.38,000,No,No,SPRING,2014
CS 5006,Algorithms,3.33,000,No,No,SPRING,2014
CS 5007,Computer Systems,3.64,000,No,No,SPRING,2014
CS 7140,Advanced Machine Learning,3.59,000,No,No,FALL,2014
CS 6410,Compilers,3.64,000,No,No,FALL,2014
CS 7870,Seminar in Theoretical Computer Science,3.51,000,No,No,FALL,2014
CS 6220,Data Mining Techniques,3.14,000,No,No,FALL,2014
CS 7680,Special Topics in Computer Systems,3.41,000,No,No,FALL,2014
CS 5650,High Performance Computing,3.26,000,No,No,FALL,2014
CS 5001,Intensive Foundations of CS,3.39,001,No,No,SPRING,2016
CS 5002,Discrete and Data Structures,3.39,001,No,No,SPRING,2016
CS 5004,Object-Oriented Design,3.17,001,No,No,SPRING,2016
CS 5006,Algorithms,3.48,001,No,No,FALL,2016
CS 5007,Computer Systems,3.59,001,No,No,FALL,2016
CS 6240,Large-Scale Parallel Data Processing,3.52,001,No,No,SPRING,2016
CS 8982,Readings,3.54,001,No,No,SPRING,2016
CS 5620,Computer Architecture,3.36,001,No,No,FALL,2016
CS 5001,Intensive Foundations of CS,3.63,002,No,No,SPRING,2016
CS 5002,Discrete and Data Structures,3.43,002,No,No,SPRING,2016
CS 5004,Object-Oriented Design,3.52,002,No,No,FALL,2016
CS 5006,Algorithms,3.49,002,No,No,FALL,2016
CS 5007,Computer Systems,3.62,002,No,No,SPRING,2016
CS 7280,Special Topics in Database Management,3.65,002,No,No,SPRING,2016
CS 5520,Mobile Application Development,3.66,002,No,No,SPRING,2016
CS 5100,Foundations of Artificial Intelligence,3.48,002,No,No,SPRING,2016
CS 5001,Intensive Foundations of CS,3.5,003,No,No,FALL,2016
CS 5002,Discrete and Data Structures,3.55,003,No,No,FALL,2016
CS 5004,Object-Oriented Design,3.38,003,No,No,FALL,2016
CS 5006,Algorithms,3.57,003,No,No,SPRING,2016
CS 5007,Computer Systems,3.29,003,No,No,FALL,2016
CS 7470,Seminar in Programming Languages,3.55,003,No,No,FALL,2016
CS 5610,Web Development,3.67,003,No,No,FALL,2016
CS 5330,Pattern Recognition and Computer Vision,3.54,003,No,No,SPRING,2016
CS 6540,Foundations of Formal Methods and Software Analysis,3.37,003,No,No,SPRING,2016
CS 5001,Intensive Foundations of CS,3.34,004,No,No,FALL,2017
CS 5002,Discrete and Data Structures,3.85,004,No,No,SPRING,2017
CS 5004,Object-Oriented Design,3.47,004,No,No,SPRING,2017
CS 5006,Algorithms,3.73,004,No,No,FALL,2017
CS 5007,Computer Systems,3.56,004,No,No,FALL,2017
CS 5001,Intensive Foundations of CS,3.55,005,No,No,FALL,2016
CS 5002,Discrete and Data Structures,3.53,005,No,No,SPRING,2016
CS 5004,Object-Oriented Design,3.74,005,No,No,SPRING,2016
CS 5006,Algorithms,3.54,005,No,No,SPRING,2016
CS 5007,Computer Systems,3.42,005,No,No,FALL,2016
CS 7280,Special Topics in Database Management,3.52,005,No,No,FALL,2016
CS 7990,Thesis,3.53,005,No,No,SPRING,2016
CS 6200,Information Retrieval,3.51,005,No,No,FALL,2016
CS 6760,"Privacy, Security, and Usability",3.34,005,No,No,SPRING,2016
CS 5001,Intensive Foundations of CS,3.58,006,No,No,FALL,2015
CS 5002,Discrete and Data Structures,3.49,006,No,No,SPRING,2015
CS 5004,Object-Oriented Design,3.47,006,No,No,FALL,2015
CS 5006,Algorithms,3.4,006,No,No,SPRING,2015
CS 5007,Computer Systems,3.45,006,No,No,SPRING,2015
CS 7480,Special Topics in Programming Language,3.18,006,No,No,FALL,2015
CS 7805,Theory of Computation,3.46,006,No,No,SPRING,2015
CS 6530,Analysis of Software Artifacts,3.44,006,No,No,SPRING,2015
CS 5770,Software Vulnerabilities and Security,3.67,006,No,No,FALL,2015
CS 6750,Cryptography and Communications Security,3.49,006,No,No,SPRING,2015
CS 6140,Machine Learning,3.47,006,No,No,FALL,2015
CS 8674,Master’s Project,3.68,006,No,No,FALL,2015
CS 5001,Intensive Foundations of CS,3.37,007,No,No,SPRING,2016
CS 5002,Discrete and Data Structures,3.51,007,No,No,FALL,2016
CS 5004,Object-Oriented Design,3.26,007,No,No,FALL,2016
CS 5006,Algorithms,3.81,007,No,No,FALL,2016
CS 5007,Computer Systems,3.47,007,No,No,SPRING,2016
CS 5600,Computer Systems,3.13,007,No,No,FALL,2016
